"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","26-Apr-2019","       2195.00","       2203.00","       2243.95","       2193.15","       2231.10","       2238.55","       2225.36","    2716958","          6046198155.60","     110079","    1175323","         43.26"
"TCS","EQ","30-Apr-2019","       2238.55","       2238.55","       2266.95","       2230.10","       2256.25","       2260.35","       2252.48","    3488395","          7857544875.95","     135194","    2026970","         58.11"
"TCS","EQ","02-May-2019","       2260.35","       2255.00","       2259.40","       2211.10","       2214.70","       2215.40","       2227.88","    2457699","          5475449034.65","     106215","    1064368","         43.31"
"TCS","EQ","03-May-2019","       2215.40","       2185.00","       2186.05","       2125.00","       2137.00","       2132.00","       2153.00","    3780886","          8140257404.35","     188561","    1641641","         43.42"
"TCS","EQ","06-May-2019","       2132.00","       2110.00","       2165.00","       2108.50","       2155.20","       2157.85","       2150.11","    2891422","          6216881349.35","     109314","    1224571","         42.35"
"TCS","EQ","07-May-2019","       2157.85","       2160.05","       2184.35","       2138.80","       2154.00","       2151.95","       2163.53","    2201698","          4763441089.75","      86096","     975603","         44.31"
"TCS","EQ","08-May-2019","       2151.95","       2151.00","       2168.00","       2130.40","       2156.00","       2152.85","       2151.85","    1824895","          3926902424.60","      77713","     781526","         42.83"
"TCS","EQ","09-May-2019","       2152.85","       2145.00","       2184.10","       2136.10","       2171.20","       2172.55","       2166.98","    2264162","          4906404979.40","     106297","    1251459","         55.27"
"TCS","EQ","10-May-2019","       2172.55","       2175.00","       2192.00","       2125.85","       2130.25","       2135.80","       2161.83","    2039633","          4409349005.65","      85446","     873181","         42.81"
"TCS","EQ","13-May-2019","       2135.80","       2133.00","       2167.00","       2121.65","       2134.00","       2128.75","       2143.87","    1701744","          3648325263.15","      74014","     677242","         39.80"
"TCS","EQ","14-May-2019","       2128.75","       2135.00","       2159.80","       2072.35","       2095.80","       2092.35","       2101.14","    2456110","          5160632655.80","     118567","     926566","         37.72"
"TCS","EQ","15-May-2019","       2092.35","       2097.00","       2124.00","       2084.50","       2095.00","       2095.40","       2103.66","    2346876","          4937022681.65","     119315","    1108059","         47.21"
"TCS","EQ","16-May-2019","       2095.40","       2096.00","       2124.00","       2077.05","       2111.50","       2108.75","       2107.55","    1946529","          4102397614.20","     118994","     916519","         47.08"
"TCS","EQ","17-May-2019","       2108.75","       2112.60","       2135.00","       2090.00","       2094.00","       2095.45","       2107.34","    1947908","          4104894878.95","      85798","     891442","         45.76"
"TCS","EQ","20-May-2019","       2095.45","       2125.00","       2151.40","       2050.00","       2148.00","       2143.95","       2119.50","    2625116","          5563937035.60","     112038","    1154403","         43.98"
"TCS","EQ","21-May-2019","       2143.95","       2148.05","       2148.70","       2102.55","       2106.20","       2109.75","       2122.37","    1863157","          3954316658.75","     100432","    1042172","         55.94"
"TCS","EQ","22-May-2019","       2109.75","       2110.00","       2121.95","       2075.00","       2090.00","       2081.75","       2091.31","    2595795","          5428609876.35","     154844","    1410070","         54.32"
"TCS","EQ","23-May-2019","       2081.75","       2098.00","       2115.35","       2050.00","       2057.00","       2054.05","       2071.74","    2541294","          5264898713.65","     122224","    1169296","         46.01"
"TCS","EQ","24-May-2019","       2054.05","       2070.00","       2070.00","       2032.25","       2050.00","       2048.00","       2051.14","    2274208","          4664725693.15","     114179","    1255954","         55.23"
"TCS","EQ","27-May-2019","       2048.00","       2054.80","       2068.95","       2040.10","       2058.00","       2055.15","       2054.87","    2329820","          4787473257.70","      85924","    1377094","         59.11"
"TCS","EQ","28-May-2019","       2055.15","       2060.00","       2097.50","       2045.00","       2068.00","       2073.75","       2076.46","    5872979","         12194983826.60","     205972","    4034671","         68.70"
"TCS","EQ","29-May-2019","       2073.75","       2080.00","       2123.70","       2077.10","       2114.20","       2107.55","       2109.46","    3281320","          6921811131.40","     177202","    1508313","         45.97"
"TCS","EQ","30-May-2019","       2107.55","       2123.00","       2156.55","       2114.40","       2146.30","       2146.30","       2142.62","    4971725","         10652535237.95","     150672","    2210404","         44.46"
