Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Jan-15,8272.8,8294.7,8248.75,8284,56560411,2321.88
02-Jan-15,8288.7,8410.6,8288.7,8395.45,101887024,4715.72
05-Jan-15,8407.95,8445.6,8363.9,8378.4,118160545,5525.52
06-Jan-15,8325.3,8327.85,8111.35,8127.35,172799618,8089.19
07-Jan-15,8118.65,8151.2,8065.45,8102.1,164075424,7464.33
08-Jan-15,8191.4,8243.5,8167.3,8234.6,143802802,8147.4
09-Jan-15,8285.45,8303.3,8190.8,8284.5,152612528,9305.95
12-Jan-15,8291.35,8332.6,8245.6,8323,103153908,5437.76
13-Jan-15,8346.15,8356.65,8267.9,8299.4,129561892,6499.2
14-Jan-15,8307.25,8326.45,8236.65,8277.55,150621631,7020.91
15-Jan-15,8424.5,8527.1,8380.55,8494.15,232138802,10725.62
16-Jan-15,8504.05,8530.75,8452.25,8513.8,181365905,8690.54
19-Jan-15,8550.05,8570.95,8531.5,8550.7,129346422,6292.59
20-Jan-15,8575.1,8707.9,8574.5,8695.6,158713840,7838.19
21-Jan-15,8719.65,8741.85,8689.6,8729.5,191651012,9735.99
22-Jan-15,8745.85,8774.15,8727,8761.4,180912372,9025.95
23-Jan-15,8827.95,8866.4,8795.4,8835.6,197124706,9716.57
27-Jan-15,8871.35,8925.05,8825.45,8910.5,192010521,9988.36
28-Jan-15,8902.75,8985.05,8874.05,8914.3,190805926,10313.46
29-Jan-15,8901.5,8966.65,8861.25,8952.35,264245843,13427.54
30-Jan-15,8996.6,8996.6,8775.1,8808.9,275587957,12385.18
02-Feb-15,8802.5,8840.8,8751.1,8797.4,216556534,10430.34
03-Feb-15,8823.15,8837.3,8726.65,8756.55,208672175,9888.1
04-Feb-15,8789.15,8792.85,8704.4,8723.7,201252375,8707.82
05-Feb-15,8733.1,8838.45,8683.65,8711.7,179008853,9126.1
06-Feb-15,8696.85,8726.2,8645.55,8661.05,176554075,7912.1
09-Feb-15,8584.4,8605.55,8516.35,8526.35,151329604,6863.17
10-Feb-15,8478.1,8646.25,8470.5,8565.55,202294693,9965.76
11-Feb-15,8603.3,8651.95,8593.65,8627.4,166560867,7602.46
12-Feb-15,8676.95,8732.55,8599.25,8711.55,163681352,7669.87
13-Feb-15,8741.5,8822.1,8729.65,8805.5,228807812,10248.41
16-Feb-15,8831.4,8870.1,8793.4,8809.35,140637331,7047.32
18-Feb-15,8811.55,8894.3,8808.9,8869.1,152152801,10153.74
19-Feb-15,8883.05,8913.45,8794.45,8895.3,219867400,9794.26
20-Feb-15,8895.5,8899.95,8816.3,8833.6,203714864,8193.56
23-Feb-15,8856.85,8869,8736.1,8754.95,143932325,7171.05
24-Feb-15,8772.9,8800.5,8726.75,8762.1,154368611,7413.31
25-Feb-15,8801.9,8840.65,8751.4,8767.25,139406599,6986.78
26-Feb-15,8779,8786.05,8669.45,8683.85,224185492,10531.16
27-Feb-15,8729.5,8856.95,8717.45,8844.6,257226273,11924.49
28-Feb-15,8913.05,8941.1,8751.35,8901.85,246453954,10064.41
02-Mar-15,8953.85,8972.35,8885.45,8956.75,224772586,11525.5
03-Mar-15,8962.85,9008.4,8925.55,8996.25,183251960,9033.61
04-Mar-15,9109.15,9119.2,8893.95,8922.65,256060375,12130.98
05-Mar-15,8929.4,8957.55,8849.35,8937.75,165081476,8250.55
09-Mar-15,8891.15,8891.3,8740.45,8756.75,160332840,8132.43
10-Mar-15,8769.75,8778,8677.35,8712.05,168916337,8402.33
11-Mar-15,8728.75,8755.6,8682.35,8699.95,178053293,8259.67
12-Mar-15,8740.65,8787.2,8732.9,8776,179337979,8184.46
13-Mar-15,8844.05,8849.75,8631.75,8647.75,184665971,8121.26
16-Mar-15,8656.75,8663.55,8612,8633.15,168438040,7559.94
17-Mar-15,8689.1,8742.55,8630.8,8723.3,182504639,8086.26
18-Mar-15,8742.9,8747.25,8664,8685.9,161153533,8227.5
19-Mar-15,8749.45,8788.2,8614.65,8634.65,168628424,8460.35
20-Mar-15,8627.9,8627.9,8553,8570.9,179982752,8484.23
23-Mar-15,8591.55,8608.35,8540.55,8550.9,155425780,6195.45
24-Mar-15,8537.05,8627.75,8535.85,8542.95,161465466,7913.26
25-Mar-15,8568.9,8573.75,8516.55,8530.8,165952155,8200.05
26-Mar-15,8474.95,8499.45,8325.35,8342.15,288758332,13667.31
27-Mar-15,8396,8413.2,8269.15,8341.4,198979321,9528.86
30-Mar-15,8390.95,8504.55,8380.75,8492.3,142061290,6713.2
31-Mar-15,8527.6,8550.45,8454.15,8491,177059509,8108.36
01-Apr-15,8483.7,8603.4,8464.75,8586.25,136312446,6863.03
06-Apr-15,8615.8,8667.55,8573.75,8659.9,150877855,7633
07-Apr-15,8684.45,8693.6,8586.85,8660.3,141765381,7287.01
08-Apr-15,8698.95,8730.5,8679.8,8714.4,149617725,7889.65
09-Apr-15,8756.2,8785.5,8682.45,8778.3,158192905,8391.19
10-Apr-15,8774.35,8787.4,8733.6,8780.35,141464357,7119.96
13-Apr-15,8801.75,8841.65,8762.1,8834,122833397,6242.71
15-Apr-15,8844.75,8844.8,8722.4,8750.2,170458015,8908.26
16-Apr-15,8757.05,8760,8645.65,8706.7,149337173,8268.33
17-Apr-15,8698.05,8699.85,8596.7,8606,155474164,9134.37
20-Apr-15,8618.8,8619.95,8422.75,8448.1,154492312,8930.38
21-Apr-15,8416.1,8469.35,8352.7,8377.75,418959074,32873.45
22-Apr-15,8400.4,8449.95,8284.7,8429.7,176926942,10002.48
23-Apr-15,8478.2,8504.95,8361.85,8398.3,169840748,9801.34
